ID,Year,Date,Hour,Room,Track,Title,Tracks,Rooms
6673,2023,10/11/2023,09:30:00,Seminar 1,Main Track,"Regulation, AI and the State of Software Freedom in Europe",Main Track,Seminar 1
6633,2023,10/11/2023,14:00:00,Seminar 3,OW2 Track,RIOS (Rete Italiana Open Source) presents latest updates on the OSPO Alliance and the Good Governance Initiative.,OW2 Track,Seminar 3
6617,2023,✗,✗,#N/A,,The Innovation Paradox,ZOOOM Project Track,Seminar 2
6577,2023,✗,✗,#N/A,,The Innovation Paradox (NO),Cybersecurity Track,Seminar 4
6614,2023,✗,✗,#N/A,,ZOOOM Toolkit Interactive Workshop,Open Data & Open Hardware track,Seminar 2
6607,2023,10/11/2023,17:40:00,Seminar 2,ZOOOM Project Track,The ZOOOM Framework: An Ecosystemic Perspective,Community Track,Seminar 3
6603,2023,10/11/2023,16:40:00,Seminar 2,ZOOOM Project Track,ZOOOM Project track introduction,Public Money Public Code & Open Data track,Seminar 4
6596,2023,10/11/2023,17:20:00,Seminar 2,ZOOOM Project Track,The ZOOOM Framework: Business Aspects of FOSS and Beyond,Legal track,Seminar 2
6593,2023,10/11/2023,17:00:00,Seminar 2,ZOOOM Project Track,The ZOOOM Framework: Legal aspects of FOSS and beyond,Developers track,Seminar 1
6587,2023,10/11/2023,14:40:00,Seminar 3,OW2 Track,Can AI counteract Health-related Fake News?,Artificial Intelligence Track,Seminar 2
6585,2023,10/11/2023,14:20:00,Seminar 3,OW2 Track,The CORD-19 Topic Visualizer,Data4SmartHealth,Auditorium (A2)
6590,2023,10/11/2023,17:00:00,Auditorium (A2),Data4SmartHealth,Data-driven knowledge discovery from Brain Imaging of Alzheimer’s disease patients,,
6583,2023,10/11/2023,14:20:00,Auditorium (A2),Data4SmartHealth,AI Algorithms for Digital Therapeutics,,
6339,2023,✗,✗,#N/A,,Return to sender – A beginner’s guide to run your own small mail server,,
6262,2023,✗,✗,#N/A,,How to create an Open Source business and still make money,,
6410,2023,✗,✗,#N/A,,Online QA courses – new reality or a scam?,,
6434,2023,✗,✗,#N/A,,DNS as code with octoDNS,,
6424,2023,✗,✗,#N/A,,How to contribuite in open source projects even if you are not a genius!:),,
6409,2023,✗,✗,#N/A,,Storms and Models,,
6245,2023,✗,✗,#N/A,,Youth Hacking 4 Freedom,,
6389,2023,10/11/2023,11:20:00,Seminar 4,Cybersecurity Track,Decoding the Corporate Maze,,
6316,2023,10/11/2023,15:20:00,Auditorium (A2),Data4SmartHealth,Software testing for remote proof of concept studies of digital therapies,,
6448,2023,10/11/2023,16:00:00,Auditorium (A2),Data4SmartHealth,Home4Me – IoT and AI at service of disability,,
